,OBJECTID,NAME,NAME_AR,STOP_NUMBER,longitude,latitude
0,279487,Hamdan Ibn Mohammed St 127 / Al Ain University of Science and Technology South,شارع حمدان بن محمد 127 / جامعة العين للعلوم والتكنولوجيا (جنوب),92223,55.682403889,24.23484111099998
1,279488,St 17 / St 10,شارع 17 / شارع 10,22436,54.775298889,24.678298887999972
2,279489,Corniche St / Al Bateen St,شارع الكورنيش / شارع البطين,121,54.33544999999998,24.46951611100002
3,279490,St 5 / Etihad Airways Office,شارع 5 / مكتب طيران الاتحاد,17007,54.61531611100003,24.445593055000018
4,279491,St 15 / St 10,شارع 15 / شارع 10,24114,54.688496111000006,24.587396109999986
5,279492,St 38 / Al Yasat Kindergarten,شارع 38 / روضة الياسات,26574,54.683875,24.554948889000002
6,279493,St 4 / Baniyas Public Garden,شارع 4 / حديقة بني ياس العامة,40310,54.65313694399998,24.281298889000027
7,279494,E 95 / Exit 35,المخرج 35 / E95,31006,55.63530611200002,24.46483611100001
8,279495,Stop 16240,موقف 16240,16240,54.59265305600002,24.429053888
9,279496,St 2 / St 13,شارع 2  / شارع 13,12526,54.572961944999975,24.330193055999985
10,279497,Al Mirfa-Farms,المرفأ - المزارع,77161,53.51201111099999,24.086228887999994
11,279498,Abu Dhabi Bus Station,محطة حافلات أبوظبي,420,54.37612999999999,24.471513055000003
12,279499,E90 Mawqab Farm,,60930,53.69162194500001,23.10415499999999
13,279500,Al Sila'a Police Station,مركز شرطة السلع,89230,51.76246694399998,24.058014992999972
14,279501,Stop 29906,موقف 29906,29906,54.735688056000015,24.42888305499997
15,279502,St 2 / St 11,شارع 2 / شارع 11,28868,54.66700194499998,24.540999999999997
16,279503,Park Rotana Complex,مجمع بارك روتانا,484,54.47379999999998,24.424336111000002
17,279504,Hazaa Bin Zayed St / Masjid Fatima Bint Abd Al Rahman,شارع هزاع بن زايد / مسجد فاطمة بنت عبدالرحمن,1112,54.36450194399998,24.464983888000006
18,279505,St 49 / Saif Bin Zayed Mosque,شارع 49 / مسجد سيف بن زايد,25222,54.64816999999999,24.572196109999993
19,279506,Al Wathba South Prison,سجن الوثبة جنوب,40692,54.634528054999976,24.222686943999975
20,279507,Al Ain St 118 / ADCB South,شارع العين 118 / بنك أبوظبي التجاري جنوب,94534,55.76170388899999,24.194436110000026
21,279508,Mansoor Bin Zayed Mosque,مسجد منصور بن زايد,16720,54.594496112,24.427401110999995
22,279509,St 18 / Souq,شارع 8 / سوق,40516,54.70009611099999,24.25950111100002
23,279510,St 19 / St 42,شارع 19 / شارع 42,40122,54.654768889000025,24.35403500000001
24,279511,Souq,سوق,56126,55.57202000000001,23.999248889
25,279512,St 6 / Al Shahama School,شارع 6 / مدرسة الشهامة,28180,54.677698889,24.539196111000024
