,OBJECTID,NAMEENG,NAMEAR,CF_PHONE,CF_EMAIL,CF_FAX,CF_POBOX,CF_URL,FACILITYTYPE,FACILITYSUBTYPE,NUMBERBEDS,SPECIALITY,DAYSURG,CLASS,HR24,EMERGDEPT,OPENINGHR,NUMBERPARK,EMERGDEPTNUM,SINGLEBEDROOM,CONSULTANTNUM,SPECIALITYNUM,GPNUM,NURSENUM,XRAY,CTSCAN,MRI,SONOGRAPHY,longitude,latitude
0,1,KALLOOR DENTAL CLINIC,عيادة كالور للاسنان,(971)-2-6393233,drvalsa@gmail.com,(971)-2-6348948,29632,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,2,1,No,No,No,No,54.36810000000003,24.478400000000022
1,2,KAYA SKIN CARE CLINIC-MUSHRIF MALL BRANCH,عيادة كايا للعناية بالبشرة- فرع مشرف مول,(971)-2-6500634,hasana@kayame.net,(971)-2-6500633,50394,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,1,No,No,No,No,54.412800000000004,24.434500000000014
2,3,BAYNUNAH DENTAL CLINIC LLC,عيادة بينونه للاسنان - ذ م م,(971)-3-7517701,dinesh2005shetty@yahoo.com,(971)-3-7517742,19367,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,12,1,No,No,No,No,55.768700000000024,24.221799999999973
3,4,BOMBAY MEDICAL CENTER L.L.C,مركز مومباي الطبي ذ.م.م,03-7350070,bombayclinics@gmail.com,3-7350070,13705,,Clinic,General Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,1,4,No,No,No,No,55.564700000000016,23.637800000000027
4,5,DENTAL DESIGN CLINIC,عيادة ديزاين لطب الاسنان,02-4411344,dentaldesignclinic@yahoo.com,2-4411344,61666,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,0,0,No,No,No,No,54.39100000000002,24.4495
5,6,RAKHAA AL KILANI GYNAECOLOGY CLINIC,عيادة الدكتورة رخاء الكيلاني لامراض النساء و الولادة,03-7666280,dr.ralkilani@hotmail.com,3-7633542,17122,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,0,No,No,No,No,55.76589999999999,24.224400000000003
6,7,AL HAJJAR DENTAL CLINIC,عيادة الحجار للاسنان,(971)-3-7658155,drJamal04@hotmail.com,(971)-3-7664667,1948,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,0,No,No,No,No,55.764999999999986,24.224199999999996
7,8,CLINICA SMILE DENTAL CENTER L.L.C.,مركز كلينيكا سمايل لطب الأسنان ذ.م.م,(971)-02-4447144,al-kenan-clinic@hotmail.com,(971)-2-4447147,48279,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,0,No,No,No,No,55.765784,24.224702999999977
8,9,MCCULLOCH CLINIC L.L.C.,عيادة ماك كالوك ذ.م.م,(971)-2-6262677,mcculloch.clinic@gmail.com,(971)-2-6277311,8031,,Clinic,Specialized Medical Clinic,,0,fasle,Private,No,,,0,,0,1,0,0,1,No,No,No,No,54.36053333000001,24.490949999999998
9,10,EMIRATES DENTAL CLINIC LLC,عيادة الامارات للاسنان ذ م م,(971)-3-7663690,drbijukuruvilla@gmail.com,(971)-3-7662021,66973,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,2,0,No,No,No,No,55.76859999999999,24.221799999999973
