,OBJECTID,NAMEENG,NAMEAR,CF_PHONE,CF_EMAIL,CF_FAX,CF_POBOX,FACILITYTYPE,FACILITYSUBTYPE,NUMBERBEDS,SPECIALITY,DAYSURG,CLASS,STATUS,HR24,EMERGDEPT,OPENINGHR,NUMBERPARK,EMERGDEPTNUM,SINGLEBEDROOM,CONSULTANTNUM,SPECIALITYNUM,GPNUM,NURSENUM,XRAY,CTSCAN,MRI,SONOGRAPHY,HASMORGUES,longitude,latitude
0,1,N M C SPECIALTY HOSPITAL - LLC,مستشفى ان ام سي التخصصي ذ م م,2-6332255,hospitalauh@nmc.ae,2-6332256,6222,Hospital,General Hospital,,139,fasle,Private,Active,Yes,,,0,,0,16,139,51,516,Yes,Yes,No,Yes,No,54.36108419999999,24.483905830000026
1,2,NOVAVITA SPECIALISED PAEDIATRIC HOSPITAL L.L.C.,مستشفى نوفافيتا التخصصي للاطفال حديثي الولاده ذ.م.م.,02-4197005,paolo.fulo@novavitagroup.com,2-4196785,62927,Hospital,Specialized Hospital,,0,fasle,Private,Active,Yes,,,0,,0,1,0,0,12,Yes,No,No,No,No,54.35593299999999,24.462557000000004
2,3,AL MAFRAQ HOSPITAL,مستشفى المفرق,2-5011002,skuwaiti@seha.ae,2-5821549,2951,Hospital,General Hospital,,155,fasle,Public,Active,Yes,,,0,,0,154,155,125,1256,Yes,Yes,No,Yes,No,54.61323870000001,24.329353000000026
3,4,ZAYED MILITARY HOSPITAL,مستشفى زايد العسكري,(971)-2-4444530,admin@dms.mil.ae,(971)-2-4448718,3740,Hospital,General Hospital,,78,fasle,Public,Active,Yes,,,0,,0,87,78,171,192,Yes,Yes,No,Yes,No,54.42959031999999,24.421073009999986
4,5,UNIVERSAL HOSPITAL - L L C,مستشفى يونيفيرسال - ذ م م,02-6435555,md@universalhospitals.com,2-6439992,5056,Hospital,General Hospital,,83,fasle,Private,Active,Yes,,,0,,0,18,83,46,156,Yes,Yes,No,Yes,No,54.379008999999996,24.459626000000014
5,6,NMC PROVITA INTERNATIONAL MEDICAL CENTER L.L.C - BRANCH 1,مركز ان ام سي بروفيتا العالمي الطبي ذ.م.م - فرع 1,03-7044900,m.uzair@provita-me.com,3-7044901,222076,Hospital,Rehabilitation Hospital,,6,fasle,Private,Active,Yes,,,0,,0,0,6,4,161,No,No,No,No,No,54.58705200000003,24.425426000000016
6,7,OASIS HOSPITAL,مستشفى الواحة,03-7131044,govrelations@oasishospital.org,3-7131111,1016,Hospital,General Hospital,,40,fasle,Private,Active,Yes,,,0,,0,22,40,17,236,Yes,Yes,No,Yes,No,55.760133329999974,24.207383330000027
7,8,LIWA HOSPITAL,مستشفى ليوا,02-8070000,ah_saeed@seha.ae,2-8822848,57540,Hospital,General Hospital,,1,fasle,Public,Active,Yes,,,0,,0,0,1,5,15,Yes,Yes,No,Yes,No,53.807131579999975,23.147446950000017
8,9,AL AIN HOSPITAL,مستشفى العين,3-7635888,o-mchelihi@seha.ae,3-7622621,1006,Hospital,General Hospital,,141,fasle,Public,Active,Yes,,,0,,0,105,141,90,854,No,No,No,No,Yes,55.733611680000024,24.231342830000017
9,10,AL WAGAN HOSPITAL,مستشفى الوقن,3-7352222,rkiely@seha.ae,3-7352333,21920,Hospital,General Hospital,,6,fasle,Public,Active,Yes,,,0,,0,0,6,3,24,Yes,No,No,Yes,No,55.56555556000001,23.63749999999999
