,OBJECTID,NAME_ARA,NAME_ENG,LONGITUDE,LATITUDE,LICENSENUMBER,LICENSETYPENAMEEN,LEGALTYPENAMEAR,LEGALTYPENAMEEN,RENEWALDATE,ISSUEDATE,EXPIRYDATE,PHONE_NO,FAX_NO,MOBILENUM,URL,EMAIL,ADDRLINE1,POBOX,REGION_ARA,REGION_ENG,longitude,latitude
0,1,فندق الوفت ابوظبي ,ALOFT ABU DHABI HOTEL ,54.43781281,24.41871452,TL09550,Hotel,مؤسسة فردية,Sole Proprietorship,7-Oct-12,40093.0,41553.0,97126545000.0,97124499702.0,504577052.0,,stephan.vandenauweele@starwoodhotels.com,ابوظبي - شارع خايج العربي - بناية شركة ابوظبي الوطنية للمعارض,94943,أبوظبي,Abu Dhabi,54.43798828125,24.4188232421875
1,2,فندق شيراتون الخالدية,Shreaton Al Khalidiya Hotel,54.34965515,24.47518349,TL06195,Hotel,مؤسسة فردية,Sole Proprietorship,27-Aug-12,34543.0,41512.0,97126928500.0,97126666291.0,566160535.0,,khaled.mekki@sheratonalkhalidiya.com,ابوظبي - شارع زايد الاول - بناية الشيخ / احمد بن حامد - برج الحصن بلازا,6727,أبوظبي,Abu Dhabi,54.34979248046875,24.47540283203125
2,3,فندق ومنتجع دار السياحة ذ م م ,DAR AL SIYAHA HOTEL AND RESORT L L C ,53.77527618,23.12442684,TL06200,Hotel,شركة ذات مسؤولية محدودة,Limited Liability Company (L.L.C.),7-Feb-08,35250.0,39850.0,97126665555.0,97126667778.0,971508199981.0,,abdulla@untgroup.com,ابوظبي - شارع خليفة بن زايد - بناية سمو الشيخ / منصور بن زايد آل نهيان,33811,أبوظبي,Abu Dhabi,53.775390625,23.1246337890625
3,4,فندق الجزيرة رويال,Al Jazeera Royal Hotel,54.36519814,24.48157692,TL06161,Hotel,مؤسسة فردية,Sole Proprietorship,24-Feb-13,34414.0,41693.0,97126321100.0,97126347080.0,506143513.0,,ajr@emirates.net.ae,ابوظبي - مدينة زايد - بناية السيد / سالم محمد حجي الهاملي - بناية رقم 197,36700,أبوظبي,Abu Dhabi,54.36541748046875,24.4818115234375
4,5,فندق سيتي سيزنز,CITY SEASONS HOTEL ,55.72810364,24.2236805,TL07107,Hotel,مؤسسة فردية,Sole Proprietorship,21-Feb-13,39499.0,41690.0,97137550220.0,97137557773.0,502270766.0,,info@cityseasonsalain.com,العين - منطقة المويجعي - شارع الديوان - بناية / الشيخ مسلم سالم بن حم العامري ,14929,العين,Al-Ain,55.72821044921875,24.22381591796875
5,6,هوليداي ان ابوظبي ,HOLIDAY INN ABU DHABI,54.43703079,24.42873764,TL09551,Hotel,مؤسسة فردية,Sole Proprietorship,8-Oct-12,40094.0,41554.0,97126574888.0,97126574999.0,971506110344.0,,sid.sattanathan@hiauh.com,ابوظبي - شارع المطار - بناية القدرة القابضة ش م خ,46668,أبوظبي,Abu Dhabi,54.43719482421875,24.4288330078125
6,7,فندق حياة كابيتال جيت أبوظبي ش.م.ع,HYATT CAPITAL GATE ABU DHABI HOTEL P.J.S.C.,54.43485451,24.41862297,TL11521,Hotel,مؤسسة فردية,Sole Proprietorship,11-Aug-12,40766.0,41496.0,97125961234.0,97125961235.0,971506259849.0,,ashwini.kumar@hyatt.com,ابوظبي - شركة ابوظبي الوطنية للمعارض ,95165,أبوظبي,Abu Dhabi,54.43499755859375,24.4188232421875
7,8,فندق ومنتجع دبلومات الدولي,International Diplomat Hotel and Resort,54.36676407,24.49541092,TL06140,Hotel,مؤسسة فردية,Sole Proprietorship,16-Jul-13,36382.0,41835.0,97126710000.0,97126741221.0,971506134502.0,,diplomathojo@hotmail.com,ابوظبي - شارع خليفة بن زايد - بناية شركة حارب بن سلطان الاستثمارية المحدودة ,73095,أبوظبي,Abu Dhabi,54.36700439453125,24.49560546875
8,9,فندق زاخر,Zakher Hotel,55.76817703,24.07780457,TL06011,Hotel,مؤسسة فردية,Sole Proprietorship,26-Mar-13,38802.0,41723.0,97126275300.0,97126272270.0,971506215612.0,,zakhotel@emirates.net.ae,أبوظبي - شرق 8 - ت/8 (ج) - ت/8(أ) - بناية ورثة الشيخ / خادم بن بطي آل حامد,932,أبوظبي,Abu Dhabi,55.7684326171875,24.0780029296875
9,10,استراحة رماح,REMAH REST HOUSE,54.43485451,24.41862297,TL09213,Hotel,مؤسسة فردية,Sole Proprietorship,21-Jun-09,39985.0,40349.0,97120000000.0,97120000000.0,971500000000.0,,y22@ymail.com,العين - رماح - استراحة رماح,0,العين,Abu Dhabi,54.43499755859375,24.4188232421875
