,OBJECTID,NAMEENG,NAMEAR,CF_PHONE,CF_EMAIL,CF_FAX,CF_POBOX,FACILITYTYPE,FACILITYSUBTYPE,CLASS,HR24,OPENINGHR,CATEGORY,GRADE,SELFREPORTEDSCORECARD,CONCERNSAREA,CONFISCATIONDESTRUCTION,longitude,latitude
0,1,MEDICINA PHARMACY,صيدلية ميديسينا,(971)-2-6262665,amro.abbas@pharmalink.ae,(971)-2-6261608,41412,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.360116670000025,24.491583330000026
1,2,SKY COMMUNITY PHARMACY,صيدلية إسكاي كوميونتي,02-6765660,hasseeb@communityhealthonline.com,2-6760880,71437,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.40740966999999,24.495687480000015
2,3,SULEIMAN MEDICAL CENTER PHARMACY,صيدلية مركز سليمان الطبي,03-7618001,houqani@gmail.com,3-7221376,1887,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.740436999999986,24.257738000000018
3,4,SWEIHAN HEALTHCARE CENTER PHARMACY,صيدلية مركز سويحان الصحي,03-7462028,ahs@seha.ae,3-7461080,111355,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,55.32668303999998,24.465281489999995
4,5,TABARAK NEW PHARMACY L L C,صيدليــة تبـــارك الجديدة ذ م م,02-5633796,haadpf1321@gmail.com,2-5632565,76047,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.69433212000001,24.556129460000022
5,6,TAHA PHARMACY - L L C,صـيدلية طـــه - ذ م م,02-6343447,admin@tahamedical.com,2-6391190,38672,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37155151000002,24.48073101
6,7,THE NEW TOWER PHARMACY,صـيدلية البـرج الجـديدة,02-5827271,newtowerpharmacy@gmail.com,2-5834669,11575,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.632921220000014,24.31634330999998
7,8,WAHEEDA PHARMACY,صـيدلية وهـيدة,02-6420708,waheedahpharmacy@hotmail.com,2-6417226,7346,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.368852619999984,24.477617259999988
8,9,NEW DAR NOURI PHARMACY,صـيدلية دار نـوري الجـديده,02-6341436,nouri123@emirates.net.ae,2-6341461,26790,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.35575867,24.477125170000022
9,10,NMC PHARMACY - BRANCH 1,صيدلية  أن  أم  سي-  فرع 1,(971)-2-6179269,personnel@nmc.ae,(971)-2-6212120,6222,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.361698149999995,24.482226369999978
10,11,NMC ROYAL HOSPITAL PHARMACY LLC,صيدلية مستشفى ان ام سي رويال ذم م,(971)-2-6179269,mohammad.darweesh@nmc.ae,(971)-2-6202021,6222,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.571113000000025,24.411761000000013
11,12,NOOR ALAHLI PHARMACY - BRANCH 4,صيدلية نور الاهلي  - فرع4,2-5668124,noorpharmacybr4@ahaliagroup.ae,2-6320207,2419,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.643640000000005,24.277168000000017
12,13,OXFORD PHARMACY L.L.C,صيدلية اوكسفورد ذ.م.م,02-4489191,shanavas@omclinics.com,2-4481819,53275,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.41253089999998,24.440504069999974
13,14,BURJEEL PHARMACY L.L.C. - BRANCH 10,صيدلية برجيل ذ.م.م - فرع 10,(971)-2-2222366,saad.lifeline@vpshealth.com,(971)-2-2222336,51523,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37913703999999,24.476848599999983
14,15,REMEDY PHARMACY,صيدلية ريميدي,02-4414418,remedypharmacyauh@gmail.com,2-4414419,4643,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.381707000000006,24.464598000000024
