,OBJECTID,CF_GROUP,CF_CATEGORY,CF_SUBCATEGORY,CF_NAMEAR,CF_NAMEENG,CF_LONG,CF_LAT,REGIONNAMEAR,REGIONNAMEENG,DISTRICTNAMEAR,DISTRICTNAMEENG,CMNTYNAMEAR,CMNTYNAMEENG,ONWANIDISTNAMEAR,ONWANIDISTNAMEENG,longitude,latitude
0,1,Attractions,Recreation & Tourism,Public Parks,حديقة العائلة,Family Park,54.34798404,24.47970761,أبوظبي,Abu Dhabi,جزيرة أبوظبي,ABU DHABI ISLAND,غرب 7_2,W7_02,الحِصِن,Al Hisn,54.34798403999997,24.479707609000002
1,2,Attractions,Recreation & Tourism,Public Parks,حديقة المقطع,Al Maqta Park,54.50317668,24.40794052,أبوظبي,Abu Dhabi,منطقة المقطع,AL MAQTA AREA,المقطع 4,MQ4,المَقطَع,Al Maqta',54.503176682,24.407940515000007
2,3,Attractions,Recreation & Tourism,Public Parks,حديقة نادي الضباط,Officers Club Park,54.47658388,24.40377499,أبوظبي,Abu Dhabi,جزيرة أبوظبي,ABU DHABI ISLAND,غرب 53,W53,المُزُون,Al Muzoun,54.47658388000002,24.403774985999974
3,4,Attractions,Recreation & Tourism,Public Parks,حديقة العائلة,Family Park,54.34896866,24.483010999999998,أبوظبي,Abu Dhabi,جزيرة أبوظبي,ABU DHABI ISLAND,غرب 5,W5,الحِصِن,Al Hisn,54.348968662000004,24.483010994999972
4,5,Attractions,Recreation & Tourism,Public Parks,حديقة الشهامة-1,Shahama Park - 1,54.68218316,24.5583461,أبوظبي,Abu Dhabi,الشهامة,AL SHAHAMA,الشهامه القديمة,AL SHAHAMA OLD,البَاهية,Al Bahyah,54.68218316000002,24.55834610400001
5,6,Attractions,Recreation & Tourism,Public Parks,حديقة عامة,Public Garden,54.58885698,24.41721855,أبوظبي,Abu Dhabi,مدينة خليفة,KHALIFA CITY,جنوب شرق 24,SE24,مدينة خليفة,Khalifa City,54.58885698400002,24.417218548999983
6,7,Attractions,Recreation & Tourism,Public Parks,حديقة الإمارات,Emirates Park,54.75711555,24.65593474,أبوظبي,Abu Dhabi,السمحة,AL SAMHA,السمحة شرق,AL SAMHA EAST,السَّمْحة,Al Samhah,54.757115553999995,24.655934735000017
7,8,Attractions,Recreation & Tourism,Public Parks,حديقة السمحة ,Al Samha Park,54.77170475,24.67440849,أبوظبي,Abu Dhabi,السمحة,AL SAMHA,السمحة شرق,AL SAMHA EAST,السَّمْحة,Al Samhah,54.77170474899998,24.674408492999987
8,9,Attractions,Recreation & Tourism,Public Parks,حديقة الختم العامة,Al Khatim Public Park,54.99529784,24.18960042,أبوظبي,Abu Dhabi,الختم,AL KHATIM,الختم القديمة,AL KHATIM OLD,الخَتْم,Al Khatm,54.99529783999998,24.189600419999977
9,10,Attractions,Recreation & Tourism,Public Parks,حديقة التراث,Heritage Park,54.35598862,24.48652613,أبوظبي,Abu Dhabi,جزيرة أبوظبي,ABU DHABI ISLAND,شرق 2,E2,الحِصِن,Al Hisn,54.35598861599999,24.486526130000016
