,OBJECTID,COMFAC.L_AWQAF_QMC.AREA,AR_NAME,EN_NAME,PHONE,EMAIL,STUDENTS_S,CENTER_MAN,longitude,latitude
0,1,مدينة زايد,مركز مدينة زايد,MAdinat Zayed Center,28847444.0, ,إناث,فاطمة سيف علي المزروعي,53.69415800019249,23.63968799980222
1,2,مدينة زايد,مركز بينونة,Bainonah Center,28847444.0, ,ذكور,علي محمد حمد مبارك المري,53.69025800020745,23.676921000004995
2,3,ليوا,مركز ليوا,Liwa Center,28847444.0, ,إناث,مينا سالم المنصوري,53.795602660135614,23.133938990193087
3,4,مدينة زايد,مركز مرابع الظفرة,Maraba ALDhafra Center,28847444.0, ,إناث,موزة بلوش محمد المزروعي,53.71161100014848,23.61488599998978
4,5,المرفأ,مركزالمرفأ,Almarfa Center,28847444.0, ,ذكور / إناث,موزة عبدالله حمد الحمادي,53.4629100002972,24.058114999808254
5,6,السلع,مركز بعيا,Baiaa Center,28847444.0, ,ذكور / إناث,مريم مبارك المنصوري,51.7599510003393,24.076896999897485
6,7,غياثي,مركز بن عشيّر,BiN eashir Center,28847444.0, ,ذكور / إناث,دولاة علي عجلان المنصوري,52.81709700042717,23.824488999968253
7,8,غياثي,بدع المطاوعة,Beda ALmatawah Center,28847444.0, ,إناث,مينا سالم المنصوري,52.56944699958029,23.78398900019306
8,9,جزيرة دلما,مركز دلما,Dalma Center,28847444.0, ,إناث,مينا سالم المنصوري,52.31148900001824,24.47302100021983
9,10,الرويس,مركز الرويس,AL Ruwais Centre,28847444.0, ,إناث,مينا سالم المنصوري,52.64891999975913,24.087888999578524
10,11,فلج هزاع,مركز محمد أحمد العتيبة,Mohammad Ahmad Al-Otaiba Center,37820981.0,otaiba99@hotmail.com,ذكور / إناث,اليازية ساري المهيري,55.72895944092642,24.200028608634227
11,12,المعترض,مركز الشيخة حصة بنت محمد,Al-Sheikha Hessa Bint Mohammed Center,37229314.0,alhassaninawal@gmail.com,ذكور / إناث,فاطمة النعيمي,55.73735542611297,24.218506877990876
12,13,زاخر,مركز صبحة بنت عويص,Sabha Bint Owais Center,37374831.0,aysha.al.kaabi@hotmail.com,إناث,شمسة حميد المنصوري,55.68663954697843,24.128816928259482
13,14,زاخر,مركز سهيل بن عويضة الخييلي,Suhail Bin Owaida Center,37374025.0,almaha-36@hotmail.com,ذكور / إناث,د. عمار حسن,55.68663954697843,24.128816928259482
14,15,المسعودي,مركز الشيخة آمنة,Al-Sheikh Amnah Center,37633003.0,amnah.hcr.center@hotmail.com,ذكور / إناث,موزة عبد الله الكويتي,55.7392666671239,24.2731715983914
15,16,فلج هزاع,مركز الشيخ محمد بن خالد,Sheikh Mohammed Bin Khalid Al-Nahyan Center,37810226.0,smbkc-religious@hotmail.com,ذكور / إناث,موزة جاسم المهيري,55.721390247462864,24.18405810419904
16,17,الجيمي,مركز بن حمودة,Bin Hmoodah Center,37621146.0,bin_7moodah@hotmail.com,ذكور / إناث,شيخة اليحيائي,55.72050847118993,24.247036698985312
17,18,الوقن,مركز الشيخة مريم بنت سلطان,Mariam Bint Sultan Center,37351116.0,m.s-quran@windowslive.com,إناث,علياء نصيب العامري,55.54381948088525,23.638327000891252
18,19,الفوعة,مركز أبو بكر الصديق,Abu Baker Al-Sedeeq Center,37017999.0,ghuwaya.alkaabi@awqaf.gov.ae,ذكور / إناث,غوية حمد الكعبي,55.699042082027404,24.2361594581933
19,20,الصاروج,مركز العين,Al Ain Center,37688840.0,mariam.almehairi@awqaf.gov.ae,ذكور / إناث,مريم أحمد المهري,55.79410816096379,24.204235977109533
20,21,القوع,مركز القوع,Alqua Center,37355420.0,uae219@hotmail.com,ذكور / إناث,فاطمة مطر الدرعي,55.410804069253345,23.397541277009168
21,22,الهير,مركز بر الوالدين,Ber Alwaledain Center,37320074.0,mouza.alketbi@awqaf.gov.ae,إناث,موزة مطر الكتبي,55.767509597191065,24.60895432608214
22,23,نعمة,مركز نعمة,Neama Center,37370038.0,fm.alshamissii@gmail.com,إناث,فاطمة مطر الشامسي,55.7043013839027,24.113128408949763
23,24,الخزنة,مركز الخزنة,Alkhaznaa Center,37017999.0,alkhaznaa2016@gmail.com,إناث,مي سعيد الخييلي,55.11472284768223,24.171035555847084
24,25,القوع,مركز سعيد بن السالومي,Saeed Bin Alsalumi Center,37017999.0,ha.aldarei@hotmail.com,ذكور / إناث,حمدة حمد الدرعي,55.42303622953932,23.412407118094904
25,26,هيلي,مركز عوض بن سعيد الكتبي,Awad Bin Saeed Alketbi Center,37844255.0,alketbiqurancenter@hotmail.com,إناث,النيرة عيلان السبوسي,55.75920692655933,24.27895370225241
26,27,الشعيبة,مركز الشيخة موزة بنت بطي,Alsheikha Moza Bint Butti Center,37812050.0,sh.moza@outlook.com,إناث,طرفة الفلاحي,55.65826327802881,24.161280988227873
27,28,الجيمي,مركز الشيخ محمد بن زايد,Alsheikh Mohammed Bin Zayed Al Nahyan Center,37622113.0,m1binzayed@hotmail.com,إناث,سلمى خليفة المرر,55.72880001091272,24.256905263767806
28,29,هيلي,مركز الشيخة عائشة,Alsheikha Aisha Center,37846599.0,trateel-alain@hotmail.com,ذكور / إناث,فاطمة يوسف صلاح,55.78164489199912,24.291424294396563
29,30,اليحر,مركز الفرقان,Alforqan Center,37814151.0,alforqan08@hotmail.com,ذكور / إناث,موزة سيف العفاري,55.56828589417961,24.239209092526494
30,31,الفوعة,مركز دار الخير,Dar Alkear Center,37832662.0,dar.al5air@gmail.com,إناث,وقيعة الكتبي,55.793038916513694,24.33032928716773
31,32,النايفة,مركز رملة الراعي,Ramlet Alraie Center,37844910.0,r-alraie@hotmail.com,إناث,نوف الكتبي,55.75183868390906,24.300785588484985
32,33,أم غافة,مركز  وديمة بنت زايد,Wdaima Bint Zayed Center,37833711.0,m.mb.s@hotmail.com,إناث,شيخة خليفة البدواوي,55.906744623866246,24.09825369335414
33,34,الظاهر,مركز محمد مفتاح القشاطي,Alqashate Center,37842227.0,alqashate@hotmail.com,إناث,فهيمة حسن العلي,55.83745093301508,24.07711476533501
34,35,المقام,مركز بن حرمل,Bin Harmal Center,37680555.0,shamsa733@gmail.com,إناث,شمسة سلطان الخييلي,55.61124667559454,24.17737020587117
35,36,مزيد,مركز بو حقب,Abu Hqab Center,37017999.0,abuhgab-quraan@hotmail.com,ذكور / إناث,ليلى كلفوت الشامسي,55.84795296226031,24.061088739454647
36,37,المشرف,مركز هامل الغيث,hamil khadem quran memorization center,24473199.0, ,ذكور / إناث,سلوى بخيت حم مسن الكثيري,54.39403438967628,24.433311800400134
37,38,بني ياس,مركز محمد هامل الغيث,MOHAMED HAMIL ALGHES QURAN MEMORIZATION CENTER,25858548.0,AD.Office@AWQAF.AE,ذكور / إناث,سماح سعيد سليمان الهنائي,54.641860789844486,24.296307610408746
38,39,الرحبة,مركز الرحبة,alrahbaQuran memorization center,26143895.0,AD.office@awqaf.ae,ذكور / إناث,فوزية علي سيف الخييلي,54.686327000391714,24.57565600012515
39,40,بني ياس,مركز عثمان بن عفان,OSMAN BIN AFAANQuran memorization center,25544264.0,AD.OFFICE@AWQAF.AE,ذكور / إناث,نورة يوسف عبدالرحمن السعدي,54.64110499959696,24.319213000280627
40,41,بني ياس,مركز الإمارات,EMIRATES QURAN MEMORIZATION CENTER,26143895.0,AD.OFFICE@AWQAF.AE,ذكور / إناث,صفية يوسف عبدالرحمن السعدي,54.63613899991583,24.300607000213745
41,42,الزعاب,مركز الشيخ زايد بن سلطان آل نهيان,SHEIKH ZAYED BIN SULTAN QURAN MEMORIZATION CENTER,505612111.0,AD.OFFICE@AWQAF.AE,ذكور / إناث,تحت الاجراء,54.35980099991713,24.46742400021833
