,OBJECTID,CFID,CF_GROUP,CF_CATEGORY,CF_SUBCATEGORY,CF_NAMEAR,CF_NAMEENG,CF_LONG,CF_LAT,REGIONNAMEAR,REGIONNAMEENG,DISTRICTNAMEAR,DISTRICTNAMEENG,CMNTYNAMEAR,CMNTYNAMEENG,CF_PHONE,CF_EMAIL,CF_FAX,CF_POBOX,LGRPNAME,LGRPINDEX,LAYERNAME,LAYERINDEX,longitude,latitude
0,38752,DED-3,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,الهدف الملكي  للتموين الغذائي,ROYAL TARGET FOOD CATRING,52.80447388,23.9156456,المنطقة الغربية,Western Region,غياثي,Ghayathi,غياثي الصناعية,Ghayathi Industrial Area,,,,,Eating and Drinking,30,Restaurant,32,52.80447387999999,23.915645600000005
1,38753,DED-4,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ابوحمزة,ABU HAMZA RESTAURANT,52.80363474,23.91439216,المنطقة الغربية,Western Region,غياثي,Ghayathi,غياثي الصناعية,Ghayathi Industrial Area,8743101,,8741282,77605,Eating and Drinking,30,Restaurant,32,52.80363474000001,23.914392159999977
2,38796,DED-256,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم لؤلؤ دلما,LU LU DELMA RESTAURANT,52.30932617,24.47936249,المنطقة الغربية,Western Region,جزيرة دلما,Dalma Island,دلما,Dalma Island,8782005,,,50669,Eating and Drinking,30,Restaurant,32,52.30932617000002,24.479362490000028
3,38797,DED-257,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم النبلاء,AL NUBLA RESTAURANT,52.30618858,24.48235512,المنطقة الغربية,Western Region,جزيرة دلما,Dalma Island,دلما,Dalma Island,8781146,,8782124,50741,Eating and Drinking,30,Restaurant,32,52.306188580000025,24.482355120000022
4,38798,DED-258,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم نجمة الرويس,STAR OF AL ROWEIS RESTAURANT,53.45246896,24.05785057,المنطقة الغربية,Western Region,المرفأ,Al Marfa,المرفأ 1,Mr1,8833559,,,77081,Eating and Drinking,30,Restaurant,32,53.452468959999976,24.057850570000028
5,38799,DED-259,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ساحل المرفأ,AL MARFA COAST RESTAURANT,53.45246896,24.05785057,المنطقة الغربية,Western Region,المرفأ,Al Marfa,المرفأ 1,Mr1,6152016,asseel2@hotmail.com,0,113150,Eating and Drinking,30,Restaurant,32,53.452468959999976,24.057850570000028
6,38803,DED-264,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم قذلان,QATHLAN RESTAURANT,53.70544815,23.65388584,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,الشعبية القديمة ,ALSabaabiah Akaddimah,28846765,,,57693,Eating and Drinking,30,Restaurant,32,53.705448149999995,23.653885839999987
7,38804,DED-265,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الوسيم,AL WASEEM RESTAURANT,53.70544815,23.65388584,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,الشعبية القديمة ,ALSabaabiah Akaddimah,8846427,,,50398,Eating and Drinking,30,Restaurant,32,53.705448149999995,23.653885839999987
8,38805,DED-266,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم باقر,BAQR RESTUARANT,53.70519483,23.65366234,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,الشعبية القديمة ,ALSabaabiah Akaddimah,8847911,,,58337,Eating and Drinking,30,Restaurant,32,53.70519482999998,23.653662339999983
9,38844,DED-267,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم مدينة زايد,MADINA ZAYED RESTAURANT,53.70544815,23.65388584,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,الشعبية القديمة ,ALSabaabiah Akaddimah,6998412,,,57547,Eating and Drinking,30,Restaurant,32,53.705448149999995,23.653885839999987
10,38850,DED-294,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم المشيرة,AL MUSHAIRA RESTAURANT,53.79697037,23.1361351,المنطقة الغربية,Western Region,ليوا,Liwa,محضر مزيرعة,Mizerah,8846050,,,50057,Eating and Drinking,30,Restaurant,32,53.79697037,23.13613509999999
11,38851,DED-295,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الحضاره,AL HADARA RESTAURANT,53.79931259,23.13272476,المنطقة الغربية,Western Region,ليوا,Liwa,محضر مزيرعة,Mizerah,28822678,,,73060,Eating and Drinking,30,Restaurant,32,53.79931259,23.132724759999974
12,38853,DED-297,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الازدهار,AL IZDIHAR RESTAURANT,53.79597282,23.13418007,المنطقة الغربية,Western Region,ليوا,Liwa,محضر مزيرعة,Mizerah,,,8822486,57991,Eating and Drinking,30,Restaurant,32,53.795972819999974,23.134180070000014
13,38895,DED-382,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الركن اللبناني,LEBANESE CORNER RESTAURANT,53.73026085,23.66297722,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,المنطقة الصناعية,Industrial Area,,,,3192,Eating and Drinking,30,Restaurant,32,53.73026084999998,23.662977220000016
14,38897,DED-384,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم باب القمر,GATE MOON RESTAURANT,53.72702599,23.65926552,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,المنطقة الصناعية,Industrial Area,28847440,,,110204,Eating and Drinking,30,Restaurant,32,53.727025990000016,23.65926552000002
15,38898,DED-386,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ثانى الرميثى,THANI AL RUMAITHY RESTAURANT,53.49062347,24.09341812,المنطقة الغربية,Western Region,المرفأ,Al Marfa,المرفأ,Al Marfa,8833066,,,77186,Eating and Drinking,30,Restaurant,32,53.49062347,24.093418120000024
16,38904,DED-399,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم محمد شاه,MOHAMMED SHAH RESTAURANT,53.72412491,23.6597929,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,المنطقة الصناعية,Industrial Area,26336590,,,294018,Eating and Drinking,30,Restaurant,32,53.72412491,23.659792900000014
17,38905,DED-400,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم رمز الوفاء,ALWAFA CODE RESTAURANT,53.72550583,23.65640831,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,المنطقة الصناعية,Industrial Area,,,,77075,Eating and Drinking,30,Restaurant,32,53.725505829999975,23.656408310000018
18,38942,DED-318,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم خلاص النخيل,KHLASS ALNAKEE  RESTAURANT,53.460380549999996,24.05666351,المنطقة الغربية,Western Region,المرفأ,Al Marfa,المرفأ 2,Mr2,,,,,Eating and Drinking,30,Restaurant,32,53.460380550000025,24.05666351000002
19,38943,DED-327,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم غفوركاس تاتوكادا,CAFOORKKAS THATTUKADA RESTAURENT,53.72204971,23.65480518,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,المنطقة الصناعية,Industrial Area,,,,90929,Eating and Drinking,30,Restaurant,32,53.72204971000002,23.654805179999983
20,38944,DED-328,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الهبة,AL HIBA RESTAURANT,53.72148705,23.65774155,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,المنطقة الصناعية,Industrial Area,8847818,,,58279,Eating and Drinking,30,Restaurant,32,53.72148705000001,23.657741550000026
21,38945,DED-329,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم المندى,AL MANDI RESTAURANT,53.72148693,23.65774232,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,المنطقة الصناعية,Industrial Area,8841711,,,50398,Eating and Drinking,30,Restaurant,32,53.721486930000026,23.65774232000001
22,38947,DED-331,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم دايموند,DIAMOND RESTAURANT,53.72578049,23.6594429,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,المنطقة الصناعية,Industrial Area,,,,57610,Eating and Drinking,30,Restaurant,32,53.72578048999998,23.659442899999988
23,38950,DED-343,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم كوخ البرجر - فرع,BURGER HUT RESTAURANT - BRANCH,53.70423248,23.65960673,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,شرق 6,Mze6,,,,,Eating and Drinking,30,Restaurant,32,53.70423247999997,23.659606730000007
24,38951,DED-344,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم بوبايز -ذ.م.م - فرع 10,POPEYES REATAURANT- L.L.C - BRANCH 10,53.70423248,23.65960673,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,شرق 6,Mze6,,,,,Eating and Drinking,30,Restaurant,32,53.70423247999997,23.659606730000007
25,38952,DED-345,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم اللذيذ,TASTY RESTAURANT,53.70317738,23.65870866,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,شرق 6,Mze6,8844224,,8847640,50098,Eating and Drinking,30,Restaurant,32,53.70317738,23.658708660000002
26,38953,DED-346,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم جارليك,GARLIC RESTAURANT,53.70403481,23.65960693,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,شرق 6,Mze6,,,,,Eating and Drinking,30,Restaurant,32,53.704034809999996,23.659606929999995
27,38994,DED-363,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم شاطئ الراحه,COMFORT BEACH RESTAURANT,51.77031517,24.05987167,المنطقة الغربية,Western Region,بعيا_السلع,Bayah Al Sila,بعيا الصناعية,Bayah Industrial Area,8728281,al7ooot_f_y@hotmail.com,,76784,Eating and Drinking,30,Restaurant,32,51.77031517,24.059871670000007
