,OBJECTID,CFID,CF_GROUP,CF_CATEGORY,CF_SUBCATEGORY,CF_NAMEAR,CF_NAMEENG,CF_LONG,CF_LAT,REGIONNAMEAR,REGIONNAMEENG,DISTRICTNAMEAR,DISTRICTNAMEENG,CMNTYNAMEAR,CMNTYNAMEENG,CF_PHONE,CF_EMAIL,CF_FAX,CF_POBOX,LGRPNAME,LGRPINDEX,LAYERNAME,longitude,latitude
0,38751,DED-2,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى الفضاء,SPACE CAFE,52.80361212,23.9162911,المنطقة الغربية,Western Region,غياثي,Ghayathi,غياثي الصناعية,Ghayathi Industrial Area,,,,50039,Eating and Drinking,30,Cafe,52.803612120000025,23.916291100000024
1,38794,DED-254,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى ومرطبات عصافير دلما,ASAFEER DELMA CAFE & REFRESHMENTS,52.30836487,24.48072624,المنطقة الغربية,Western Region,جزيرة دلما,Dalma Island,دلما,Dalma Island,8781929,,,50612,Eating and Drinking,30,Cafe,52.30836486999999,24.480726240000024
2,38795,DED-255,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,كوفي شوب انجري بيرد,COFFE SHOP ANGRY BIRDS,52.30836105,24.48009491,المنطقة الغربية,Western Region,جزيرة دلما,Dalma Island,دلما,Dalma Island,,,8783005,50693,Eating and Drinking,30,Cafe,52.308361049999974,24.48009490999999
3,38801,DED-261,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى شباب المدينة,CITY YOUTHS CAFE,53.72528839,23.6668911,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,شرق 18,Mze18,8841774,almazroei@hotmail.com,,58489,Eating and Drinking,30,Cafe,53.72528839,23.666891099999987
4,38846,DED-290,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,الغربية كوفى شوب,WESTERN COFFEE SHOP,53.80001068,23.1326313,المنطقة الغربية,Western Region,ليوا,Liwa,محضر مزيرعة,Mizerah,0,liwa70@hotmail.com,8822060,6297,Eating and Drinking,30,Cafe,53.800010680000014,23.132631300000014
5,38854,DED-315,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى ومرطبات الليمبى,AL LIMBI FEFRESHMENTS & CAFE,53.46038013,24.0566634,المنطقة الغربية,Western Region,المرفأ,Al Marfa,المرفأ 2,Mr2,,,,12774,Eating and Drinking,30,Cafe,53.460380129999976,24.05666339999999
6,38855,DED-316,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,دموع الورد انترنت كافية,DUMOA AL WERD INTERNET CAFE,53.46038013,24.0566634,المنطقة الغربية,Western Region,المرفأ,Al Marfa,المرفأ 2,Mr2,,,,,Eating and Drinking,30,Cafe,53.460380129999976,24.05666339999999
7,38899,DED-394,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى الديوان ذ م م,AL DIWAN COFFEE SHOP  L L C,53.72148693,23.65774232,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,المنطقة الصناعية,Industrial Area,6746665,,,129525,Eating and Drinking,30,Cafe,53.721486930000026,23.65774232000001
8,38900,DED-395,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,ستايل الغربية للأنترنت,STYLE ALGHARBEYA INTERNET CAFE,53.72412491,23.6597929,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,المنطقة الصناعية,Industrial Area,,,,,Eating and Drinking,30,Cafe,53.72412491,23.659792900000014
9,38903,DED-398,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,عالم المدينة للانترنيت,ALAM AL MADINA INTERNET,53.72479994,23.66009024,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,المنطقة الصناعية,Industrial Area,,,,57693,Eating and Drinking,30,Cafe,53.724799940000025,23.660090239999988
